"人气排序","小说名称","作者","小说类型","总点击数","会员周点击数","总字数","评论数","评分","小说性质","写作进程","授权状态","更新时间","内容简介"
355,"最后的子弹","没有烤焦的烧鱼","二次元小说",353510,25,533305,3099,9.8,"VIP作品","接近尾声","专属作品","2016/2/13 23:39","　　枪身的漆黑，为谁而褪逝？
???     枪火的声硝，为谁而倾泄？
???     枪口的灼热，为谁而低垂？
???     最后的一颗子弹，该留给你，还是我自己……
???     群号：二一一四三四八七七"
356,"回到明朝当王爷","月关","历史小说",26588971,390,3700165,9095,9.5,"公众作品","已经完本","Ａ级签约","2008/10/8 20:00","　　【起点第四编辑组签约精品】
???     阴差阳错间，乌龙九世善人郑少鹏回到了大明正德年间。
???     那是一个多姿多彩的时代，既有京师八虎的邪恶，又有江南四大才子的风流，还有大儒王阳明的心学，再加上荒诞不经的正德皇帝朱厚照。浑浑噩噩中踏进这个世界的主角，不得不为了自己的命运，周旋在这形形色色的人物之中。
???     东厂、西厂、内厂、外廷之间的纷争；代天巡狩清除贪官的故事；剿倭寇、驱鞑靼、灭都掌蛮、大战佛郎机；开海禁、移民西伯利亚……，精彩的故事纷至沓来……
???     国家和个人的命运，就象历史长河中的一条船，因为他的意外出现，这艘原本注定驶向没落的巨轮，会不会偏移它的方向呢？
???"
357,"星期五有鬼","七麒","灵异小说",678024,42,2047820,10453,9.8,"公众作品","已经完本","Ａ级签约","2016/1/6 9:01","　　我是一家网络综艺节目的主持人，我主持的节目叫做星期五有鬼，是一档灵异节目，通过选题，实地拍摄，我接触到了许多不为人知的一面，我们每天生活的这个世界，远没有表面看上去那么简单，其背后是如此的丰富多彩，如此的迷离恐怖，从此我进入了一个普通人永远也接触不到的世界，一个灵异的世界。???     相信我，节目中播出的永远只是一小部分，是那些不会真正引起恐慌的，真正的秘密，隐藏在阳光之下，其中的过程更是惊心动魄，你想知道这个世界的真相吗？就请随我走进星期五有鬼。???     一切的开端，从一场车祸开始。???"
358,"幻想乡的一己之见","忘川妖仙宁楚","二次元小说",1026115,41,1060785,6486,10,"VIP作品","新书上传","专属作品","2015/6/23 23:17","　　赫赫阴阳，日出东方；顺尔火德，正尔天光；如画江山，神都洛阳；长安初建，大明宫堂；万岁通天，神龙何方；高天之原，亦非虚妄；含元殿下，万国朝阳；世之辉光，皆归大唐；叹息安史，乱我家乡；不世国度，巅峰衰亡；只为此路，便改洪荒；愿我中土，不落太阳。

???     千年之前，幻想起航；所在何地，瀛洲扶桑；飞鸟难酬，奈良其昌；圣德遗教，大化飞扬；京都大火，青莲绽放；若为情故，天也难妨；藤原京灭，平安亦煌；此方国土，众神之乡；竹取辉夜，赫映十方；车持皇子，心向天芒；传国玉玺，大梦一场；得失有命，在水一方。

???     东渡大业，水远山长；壮哉鉴真，天平脊梁；静谧月海，安宁难祥；吉野山上，樱花开放；幻想之乡，显现东方。

???     世有商羊，绍续成汤；天命玄鸟，降而生商；维天有汉，监亦有光；冥水汤汤，天命茫茫；今者不乐，逝者其亡。

???     多元宇宙，何其之广；此为初始，路途仍长；万千世界，何复他方；追寻之物，绚丽梦想；一己之见，苍穹飞翔。

???"
359,"官神","何常在","职场小说",11762015,732,8449669,70484,9.5,"公众作品","已经完本","Ａ级签约","2012/9/29 16:51","　　为官者达到举重若轻、点石成金、出神入化的境界，是为官神。
???     慧眼看红尘，做官如有神。

???     多了12年前瞻性优势的夏想重新站在大学毕业的路口，回味错过的人生，珍惜眼前的时机，他要自己规划自己的人生，于是，从县委书记秘书起步，以一种奇怪的起飞的姿势，跑步进入了官场……10年后，所有认识他的人都称他为官神。
???     免责声明：如果与现实有雷同之处，可以理解为绝对巧合，也可以理解为是平行空间的影射，请勿对号入座。"
360,"巫师之旅","一行白鹭上青天","奇幻小说",1063991,1480,3905230,68006,9.9,"公众作品","情节展开","Ａ级签约","2016/10/22 21:12","　　给我无尽的知识，我便以自身为支点，撬动无尽世界。
???     故事讲述的是一个名为格林的巫师，依靠自己的智慧和运气，学习自己独特的巫师知识，游历异域世界，参与不同文明之间战争的故事。
???     一直想写一本理性的风格迥异巫师类作品，所谓的理性可以理解为伪科学，因此会有很多巫术推理和伪科学实验情节。
???     管理规则相对严格的明巫师书友群：534727370。
???     相对个人娱乐欢快暗巫师书友群：367406598。"
361,"官居一品","三戒大师","历史小说",15557325,326,5704781,63834,9.1,"公众作品","已经完本","Ａ级签约","2012/6/22 9:29","　　数风流，论成败，百年一梦多慷慨有心要励精图治挽天倾，哪怕身后骂名滚滚来。轻生死，重兴衰，海雨天风独往来。谁不想万里长城永不倒，也难料恨水东逝归大海。"
362,"韩娱之梦","静候轮回","职场小说",521870,228,2522877,4481,9.9,"公众作品","已经完本","Ａ级签约","2015/9/22 17:26","　　新书已经发表《韩娱之我的会长大人》，该书讲述了一个会长和众多韩国美腿们的故事，请多多支持！！！
???"
363,"幽暗主宰","西贝猫","游戏小说",794250,528,3313617,25412,9.8,"公众作品","已经完本","Ａ级签约","2016/10/17 15:07","　　因为一场意外，使得詹恩来到异界，重生为魔王之子。
???     在这深远的幽暗地域，他成为了地下城之主，魔王的继承者。
???     但是，黑暗中的危险不止于此。
???     同样对于魔王之位虎视眈眈的魔族，还有潜伏在地底深处的怪物。
???     为了宝藏与传说四处乱窜的冒险者，以及从地面而来，为正义而战的骑士。
???     在古老的誓约与旗帜下，詹恩将手持权杖，
???     从幽暗的地底深处，为世界带来前所未有的改变。
???     而克莱恩，这片经历了无数风雨的大陆，又将要翻开新的篇章。???     新书《终末之城》已发布，请大家多多支持
???"
364,"田园牧场","若忘书","都市小说",886763,188,4596900,15384,9.8,"公众作品","已经完本","Ａ级签约","2016/2/6 15:43","　　都市白领刘云轩得到神奇空间，毅然返回田园。
???     以微薄的资本，以小博大，只身闯美帝。
???     买几个牧场，养几群牛羊，再养几只萌宠。
???     改良牧场，研发肥料。想喝红酒，自己酿。
???     田园牧场的生活就是这么简单又悠闲。
???     （本书无修真、无高科技，有的只是平凡）"
