"人气排序","小说名称","作者","小说类型","总点击数","会员周点击数","总字数","评论数","评分","小说性质","写作进程","授权状态","更新时间","内容简介"
1,"一念永恒","耳根","仙侠小说",4383898,10691,1155534,435429,9.8,"公众作品","连载中","Ａ级签约","2016/10/23 11:50","　　一念成沧海，一念化桑田。一念斩千魔，一念诛万仙。???     唯我念……永恒???     这是耳根继《仙逆》《求魔》《我欲封天》后，创作的第四部长篇小说《一念永恒》"
2,"斗战狂潮","骷髅精灵","仙侠小说",1678379,36587,422116,23159,10,"公众作品","连载中","Ａ级签约","2016/10/22 17:05","　　双月当空，无限可能的英魂世界 
???     孤寂黑暗，神秘古怪的嬉命小丑 
???     百城联邦，三大帝国，异族横行，魂兽霸幽 
???     这是一个英雄辈出的年代，人类卧薪尝胆重掌地球主权，孕育着进军高纬度的野望！ 
???     重点是……二年级的废柴学长王同学，如何使用嬉命轮盘，撬动整个世界，学妹们，请注意，学长来了！！！ 
???     斗战一群：21222419（两千人战力群）
???     斗战二群：12962047 
???     骷髅的微信公共号：kuloujingling00 
???     新浪微博：骷髅精灵"
3,"天影","萧鼎","仙侠小说",1248708,32019,373763,25253,9.8,"公众作品","连载中","Ａ级签约","2016/10/23 10:40","　　阴阳分天地，五行定乾坤。
???     天穹之下岁月沧桑的中土神州，正是仙道昌盛的时代，亿万生灵欣欣向荣。
???     纵横千万里间，总有人间一幕幕悲欢离合，在恢弘长生的仙道中上演着。
???     有光便有暗，天穹之下光辉之中，仍有沉默的影子悄然前行着……
???     新书上线！精彩万分！请各位书友多多投票支持！另外，大家可以添加微信公众号zhuxianxiaoding（诛仙萧鼎），QQ官方群 176378308 进行交流。"
4,"不朽凡人","鹅是老五","仙侠小说",2457382,9610,995669,146715,9.9,"公众作品","连载中","Ａ级签约","2016/10/22 20:50","　　在这里，拥有灵根才能修仙，所有凡根注定只是凡人。
???     莫无忌，只有凡根，一介凡人！
???     是就此老去，还是不甘？???"
5,"玄界之门","忘语","仙侠小说",3736897,6709,1784999,238113,9.8,"公众作品","新书上传","Ａ级签约","2016/10/23 10:15","　　天降神物！异血附体！???     群仙惊惧！万魔退避！???     一名从东洲大陆走出的少年。???     一具生死相依的红粉骷髅。???     一个立志成为至强者的故事。???     一段叱咤星河，大闹三界的传说。???     忘语新书，已完本《凡人修仙传》》《魔天记》。"
6,"龙王传说","唐家三少","玄幻小说",2968846,3080,1552654,293934,9.8,"公众作品","新书上传","Ａ级签约","2016/10/23 7:00","　　伴随着魂导科技的进步，斗罗大陆上的人类征服了海洋，又发现了两片大陆。魂兽也随着人类魂师的猎杀无度走向灭亡，沉睡无数年的魂兽之王在星斗大森林最后的净土苏醒，它要带领仅存的族人，向人类复仇！
???     唐舞麟立志要成为一名强大的魂师，可当武魂觉醒时，苏醒的，却是……
???     旷世之才，龙王之争，我们的龙王传说，将由此开始。
???"
7,"美食供应商","会做菜的猫","都市小说",1033427,10372,424742,63007,9.5,"公众作品","连载中","Ａ级签约","2016/10/22 22:09","　　“在遥远的东方，存在着一个数次拒绝了米其林三星评价的奇怪小店。 
???     那里价格昂贵，一碗配汤蛋炒饭288RMB，哦忘了还有一碟泡菜，但就算是这样也有很多人排队等候。
???     那里不接受预定，只接受本人现场排队，无数人开着专机专程排队，当然并不提供停机位或停车位。 
???     那里服务恶劣，竟然让顾客自己端菜收拾碗筷，对了还要擦桌子，哦！上帝这老板简直疯了。” 
???     ——《米其林美食杂志》???     微信公众号：ylbxd24，名字：会做菜的猫，搜名字或者公众号就可以关注最新动态。"
8,"武道宗师","爱潜水的乌贼","玄幻小说",157094,18237,153131,6228,10,"VIP作品","连载中","Ａ级","2016/10/23 12:25","　　第一，不要笑书名。
???     第二，不要笑封面。
???     第三，不要笑简介。
???     如果大家上面三句话会心笑了，说明本书风格应该挺适合你们的。
???     在这里，武道不再是虚无缥缈的传说，而是切切实实的传承，经过与科技的对抗后，彻底融入了社会，有了各种各样的武道比赛，文无第一，武无第二！
???     楼成得到武道一大流派断绝的传承后，向着最初的梦想，向着心里的荣耀，一步一步前进，都市之中仍有豪侠，当今时代依存英雄！"
9,"斩仙","任怨","仙侠小说",8665859,278,5433738,30701,9.5,"公众作品","新书上传","Ａ级签约","2015/10/30 22:05","　　前世，杨晨与人为善，却被欺压一生。
???     重生，杨晨选择成为刽子手，鬼头刀下了断恩怨，斩仙台上斩尽苍生。
???     人界斩人！
???     妖界斩妖！
???     魔界斩魔！
???     仙界斩仙！
???"
10,"星战风暴","骷髅精灵","科幻小说",25181363,676,3933207,352682,9.7,"公众作品","新书上传","Ａ级签约","2016/8/2 17:03","　　军校考试临近，二十八的基因数被直接取消了考试资格。
???     替朋友送个情书，结果却掉到了湖中，殉情之名不胫而走。
???     王铮同学第一次收到礼物，却像是进入了炼狱……
???     然而，当一切结束，王同学开始了幸福的大学生活！
???     热血永恒，这是风暴进行曲，这是最凶猛最热血的机甲狂潮！
???"
11,"冒牌大英雄","七十二编","科幻小说",22676983,492,4119342,95040,8.4,"公众作品","已经完本","Ａ级签约","2011/10/22 21:49","　　一个机械修理兵能做什么，研究、改装、奇思妙想？一个机甲战士能做什么，机甲战斗、精妙操作、奇拳怪招？一个特种侦察兵能做什么，深入敌后、徒手技击、一招制敌、伪装、潜行、狙击？一个军事参谋能做什么，战局推演、行动计划、出奇制胜？
???     能把三种职业合而为一,甚至还精通心理学,骗术，刺客伪装术的天才.却是一个胆小怕事，猥琐卑劣的胖子。
???     当这个奇怪的家伙被迫卷入一场战争中，他会怎么做？他会成为英雄还是狗熊？
???"
12,"宝鉴","打眼","都市小说",8252764,615,4143184,87778,9.6,"公众作品","已经完本","Ａ级签约","2015/12/12 16:21","　　一局安百变，叵测是人心！
???     三教九流，五行三家，尽在宝鉴之中！
???"
13,"完美世界","辰东","玄幻小说",29202959,1702,6587139,569756,9.8,"公众作品","精彩纷呈","Ａ级签约","2016/8/4 8:17","　　一粒尘可填海，一根草斩尽日月星辰，弹指间天翻地覆。???     群雄并起，万族林立，诸圣争霸，乱天动地。问苍茫大地，谁主沉浮？！???     一个少年从大荒中走出，一切从这里开始……???"
14,"大宋的智慧","孑与2","历史小说",3700009,1152,3378999,108495,9.7,"公众作品","已经完本","Ａ级签约","2016/5/23 11:58","　　云峥打开了一扇门，就再也没有回头路，生活，就是这个样子，开了弓就没有回头箭，想回头已是百年身。
???     这是一本讲述为师之道的小说，说的是生存智慧，讲的是人间温情，道的是兄弟情义，表的是温恭谦良，这里有最美的爱情，有最深刻的兄弟情义……
???     或许，我很想把《清明上河图》徐徐的展开，给你一个不一样的大宋，不一样的人间百态……"
15,"宅师","烛","都市小说",2168304,653,2950033,19413,9.4,"公众作品","已经完本","Ａ级签约","2015/6/12 15:02","　　宅，不仅是生活，更是一种境界！阴宅阳宅，青乌堪舆，上仰观天象，下俯察地理，中参人和，把握天地变化之玄奥至理，预知福祸吉凶。
???     其中不仅有价值万金，常人梦寐以求的风水法器，另外还有可遇而不可求，神秘莫测，不可思议的风水格局。寻龙点穴，一指江山，寅葬卯发，催官显贵，化煞生旺。
???     总而言之，这是一个家居设计师，无意中遭遇到天上掉下来的罗盘擦伤之后，懵懵懂懂成为了世人眼中的风水大师的传奇故事……
???"
16,"魔天记","忘语","仙侠小说",11605672,950,4847991,193634,9.7,"公众作品","新书上传","Ａ级签约","2016/1/5 17:00","　　一名在无数凶徒中长大的亡命少年，在从被囚之地逃出升天后，又机缘巧合下另换身份，进入某一修炼宗门中，从此一个无法想象的大千世界向他敞开了大门，但阴差阳错下，又不得不面临随时可能丧失神智，化身成滔天魔物的杀身危机……"
17,"儒道至圣","永恒之火","玄幻小说",4675394,4542,4379412,221639,9.2,"公众作品","精彩纷呈","Ａ级签约","2016/10/23 1:11","　　这是一个读书人掌握天地之力的世界。
???     才气在身，诗可杀敌，词能灭军，文章安天下。
???     秀才提笔，纸上谈兵；举人杀敌，出口成章；进士一怒，唇枪舌剑。
???     圣人驾临，口诛笔伐，可诛人，可判天子无道，以一敌国。
???     此时，圣院把持文位，国君掌官位，十国相争，蛮族虎视，群妖作乱。
???     此时，无唐诗大兴，无宋词鼎盛，无创新文章，百年无新圣。
???     一个默默无闻的寒门子弟，被人砸破头后，挟传世诗词，书惊圣文章，踏上至圣之路。
???     感谢阅文官方书评团提供书评支持！"
18,"异常生物见闻录","远瞳","科幻小说",2350638,2940,3587584,165424,9.9,"公众作品","精彩纷呈","Ａ级签约","2016/10/23 11:03","　　郝仁，人如其名，是个好人，理想是平平安安过一辈子，当个穷不死但也发不了财的小房东——起码在他家里住进去一堆神经病生物之前是这样。???     一栋偏僻陈旧的大屋，一堆不怎么正常的人外生物，还有一份来自“神明”的劳动合同，三要素加起来让郝仁成为这个世界上最忙碌的房东和最高能的保姆，最混乱、最奇怪、最不正常的房客房东的故事就此开始。???     “自打在劳动合同上摁手印那天起，我就知道自己是上贼船了……”"
19,"我欲封天","耳根","仙侠小说",20995002,1167,4955048,389200,9.7,"公众作品","新书上传","Ａ级签约","2016/7/1 16:30","　　我若要有

???     天不可无

???     我若要无

???     天不许有！

???     这是一个起始于第八山与第九山之间的故事

???     一个“我命如妖欲封天”的世界！
???     这是耳根继《仙逆》《求魔》后，创作的第三部长篇小说《我欲封天》"
20,"夜天子","月关","历史小说",3249420,872,3430460,118412,9.7,"公众作品","已经完本","Ａ级签约","2016/5/28 7:15","　　他世袭罔替，却非王侯；他出身世家，却非高门。作为六扇门中的一个牢头儿，他本想老老实实把祖上传下来的这只铁饭碗一代代传承下去，却不想被一个神棍忽悠出了那一方小天地，这一去，便是一个太岁横空出世。
???     杨凌人称杨砍头，杨帆人称瘟郎中，他却有着更多的绰号，疯典史、驴推官、夜天子……，每一个绰号，都代表着他的一个传奇。
???"
21,"大主宰","天蚕土豆","玄幻小说",29547476,5987,4304130,350425,9.6,"公众作品","精彩纷呈","Ａ级签约","2016/10/23 12:14","　　大千世界，位面交汇，万族林立，群雄荟萃，一位位来自下位面的天之至尊，在这无尽世界，演绎着令人向往的传奇，追求着那主宰之路。
???     无尽火域，炎帝执掌，万火焚苍穹。
???     武境之内，武祖之威，震慑乾坤。
???     西天之殿，百战之皇，战威无可敌。
???     北荒之丘，万墓之地，不死之主镇天地。
???     ......
???     少年自北灵境而出，骑九幽冥雀，闯向了那精彩绝伦的纷纭世界，主宰之路，谁主沉浮？
???     大千世界，万道争锋，吾为大主宰。
???"
22,"官道无疆","瑞根","职场小说",7739383,909,9863617,145519,9.7,"公众作品","新书上传","Ａ级签约","2016/10/9 23:55","　　自信人生二百年，会当击水三千里！???     当改革开放的时代大潮来袭，陆为民该如何重掌这人生际遇？???     从毕业分配失意到自信人生的崛起，诡谲起伏的人生，沉浮跌宕的官场，一步一个脚印，抓住每一个机会，大道无形，行者无疆，漫漫官道，唯有胸怀天地，志存高远，方能直抵彼岸。???     官场经典之作。"
23,"公子风流","上山打老虎额","历史小说",1745962,505,2834698,18103,9.6,"公众作品","已经完本","Ａ级签约","2015/6/7 13:10","　　穿越成了一个败家大少爷，知风月、懂风情，不会弹琴却会谈情。
???     不幸成了天子亲军，成了锦衣卫，好吧，压力很大，良心什么的暂时收起，抄起家伙指鹿为马才是本职工作。
???     “飞鱼服、绣春刀加诸于身之日，就是飞黄腾达之时！”
???"
24,"一世之尊","爱潜水的乌贼","玄幻小说",4389937,2107,4437061,164648,9.8,"公众作品","已经完本","Ａ级签约","2016/10/1 19:17","　　我这一生，不问前尘，不求来世，只轰轰烈烈，快意恩仇，败尽各族英杰，傲笑六道神魔！
???     万年之后，大劫再启，如来金身，元始道体，孰强孰弱，如来神掌，截天七式，谁领风骚？
???     轮回之中，孟奇自少林寺开始了自己“纵横一生，谁能相抗”的历程。
???"
25,"无敌唤灵","苍天白鹤","玄幻小说",8258082,409,4451480,28279,9.6,"公众作品","新书上传","Ａ级签约","2015/7/10 12:55","　　戎家弟子凯旋偶有奇遇，习得唤灵之术，召唤永久存在之特殊灵体，从而名扬天下。
???"
26,"造化之门","鹅是老五","仙侠小说",13376750,1533,4784928,147990,9.7,"公众作品","已经完本","Ａ级签约","2016/6/21 16:11","　　这是一个支离破碎的角落，这是一个被遗忘的世界。
???     那一天，是宁城最失意的时候，那一天，他被硬生生的带到了这里。
???     这个角落因为有了宁城，将在浩瀚星空中留名，这个世界也因为有了宁城，将在无尽宇宙中精彩！
???"
27,"武极天下","蚕茧里的牛","玄幻小说",13374766,464,6710548,136716,9.6,"公众作品","已经完本","Ａ级签约","2015/10/8 19:12","　　一个梦想进入武府圣地的普通少年，立志追求极致武学。
???     然而面对竞争激烈的考核，又有世家子弟的借势压人，小小平凡少年如何立足？
???     宗门传承严格保密，核心功法概不外传，在功法传承如此难得天衍大陆，即便进了武府和宗门，想学到顶级武学又谈何容易？
???     来自神域的小小魔方，展开一个强者的世界。
???     功法要学就学最顶尖。
???     生活职业要选就选别人都不会的。
???     热血的对决，天才的竞争，三尺枪芒，千里直驱，武道极致，独步天下！
???"
28,"空想舰娘","欧洲提督","科幻小说",916633,151,1117596,21135,9.1,"公众作品","新书上传","Ａ级签约","2016/3/15 3:49","　　对于空想舰队来说，最大的敌人并不是来自海面上的怪物，而是在她们组织中那个最为高高在上的提督大人。

???     “快拦住提督！他又要大建了！”

???     “为什么不承认自己是一个非洲人！”

???     “你们给我闭嘴！我一定会造出来大和的！”

???     两眼通红的提督对着身后的111号计划舰舰娘怒吼道。

???     （本书世界观为近未来，并非游戏，如果看到世界观冲突，以本书世界观为主。谢谢合作~）"
29,"惊悚乐园","三天两觉","游戏小说",3686750,937,4217566,158013,9.8,"公众作品","连载中","Ａ级签约","2016/10/15 21:21","　　这是超越维度的游戏。
???     亦是追寻真理的竞逐。
???     未知的封印，鬼神的赌局……
???     数据的抗争，人类的救赎……
???     在那个连接着现实的虚拟世界——意识决定我们，意识选择我们，意识决定了我们的意识。
???     现在，丢掉你的恐惧。
???     丢掉你的私心杂念、疑问和拒信……解放你的思想。
???     欢迎来到，惊悚乐园。
???     《惊悚乐园》实体书现已上架ㄟ(_,_)ㄏ"
30,"材料帝国","齐橙","都市小说",2085735,553,2461212,27700,9.5,"公众作品","已经完本","Ａ级签约","2016/1/11 10:52","　　材料，是工业的基础，也是一个工业大国的基石。
???     秦海，一位来自于21世纪的材料学专家，穿越到了1985年的一家小农机厂。于是，一切遗憾终将不再，一切辉煌得以续写。
???     电性功能材料、光学功能材料、生物医学功能材料、超导材料、纳米材料、化学薄膜材料、智能材料、敏感材料、储氢材料……种种神奇，尽在《材料帝国》。
???"
31,"神级英雄","大烟缸","游戏小说",5216628,1198,5369036,92498,9.7,"公众作品","精彩纷呈","Ａ级签约","2016/10/22 21:34","　　英雄，就是那种自身实力强大，他率领的部队也会随英雄的强大而强大的神圣存在。

???     《英雄创世纪》，一款由美国，中国，欧盟，俄罗斯，印度，日本，韩国共同开发，集奇幻，冒险，战争，贸易，领地建设，航海，竞技，休闲于一体的世界级网游，全世界的玩家为之狂热，各国最顶尖的竞技选手在国战的舞台上大放异彩。

???     大飞,一名普通的业余游戏爱好者，看准了英雄创世纪的无限商机开始了职业游戏生涯。装逼的人生从牛逼开始，牛逼的人生从全力以赴的抓住每一次机遇开始。
???"
32,"莽荒纪","我吃西红柿","仙侠小说",61606412,785,4178953,297646,9.7,"公众作品","已经完本","Ａ级签约","2015/9/21 11:36","　　纪宁死后来到阴曹地府，经判官审前生判来世，投胎到了部族纪氏。
???     这里，
???     有夸父逐日……
???     有后羿射金乌……
???     更有为了逍遥长生，历三灾九劫，纵死无悔的无数修仙者……
???     ……
???     纪宁也成为了一名修仙者，开始了他的修仙之路……"
33,"医统江山","石章鱼","历史小说",7290531,2034,5381815,188206,9.6,"公众作品","新书上传","Ａ级签约","2016/10/21 17:42","　　前世过劳而死的医生转世大康第一奸臣之家，附身在聋哑十六年的白痴少年身上，究竟是他的幸运还是不幸，上辈子太累，这辈子只想娇妻美眷，儿孙绕膝，舒舒服服地做一个蒙混度日的富二代，却不曾想家道中落，九品芝麻官如何凭借医术权术，玩弄江湖庙堂，且看我医手遮天，一统山河！???     章鱼威信公众号Stonesquid欢迎加入"
34,"飞天","跃千愁","仙侠小说",2683274,3956,6399634,165724,9.7,"公众作品","精彩纷呈","Ａ级签约","2016/10/22 17:44","　　苍穹之下世态炎凉，妖魔鬼怪不敌人情冷暖！
???     纤纤柔荑，美人如玉，怎奈天地之间剑气如虹！
???     浩瀚星空，七情六欲，贪念嗔痴，佛谛如来，任你法力无边！
???     芸芸众生，一腔诚愿却换来血海滔滔！
???     鬼哭神嚎，血海无涯，敢问路在何方！
???     既无路，任它苦海血海，白骨化舟，一飞冲天！
???"
35,"宋时归","天使奥斯卡","历史小说",8923378,225,4716906,58974,8.7,"公众作品","新书上传","Ａ级签约","2015/12/24 1:40","　　一段传奇，一段冒险。
???     仍然是一部比较爽的历史架空小说。
???     敬请期待天使奥斯卡2010年最新奉献。
???     2010年，1月1号，正式上传。"
36,"神秘之旅","滚开","奇幻小说",3611916,537,4491807,42052,9.6,"公众作品","已经完本","Ａ级签约","2015/7/23 17:01","　　带着属性异能，穿越一个个世界。
???     领略一个个异域风情的神秘世界。
???     新书永恒剑主，有兴趣的可前往阅读。
???     231786531为vip群，大家可进入讨论
???     另外：（欢迎关注我的微信公众号，搜索——作者滚开或者laogun123456789即可关注，我会不定时在上边发放各种我所感兴趣的东西）"
37,"疯巫妖的实验日志","愤怒的松鼠","游戏小说",1792565,389,3153928,41821,9.7,"公众作品","新书上传","Ａ级签约","2016/9/11 20:28","　　这是个疯狂的巫妖，带着游戏系统，祸害整个世界的故事。???     “看下本日的日常……又是这坑爹的两选一，毁灭任意一座三万人以上的城镇，奖励10000点邪恶点数。抢三个小朋友的棒棒糖，奖励1点。若两个都没有完成，那么，扣2点。”???     “呸！当我是傻的呀，真毁了一个城镇，保证刷出一个全员史诗的中古圣骑士团来讨伐我，到时有的赚，没的花。我还是乖乖做我的棒棒糖大盗吧。”???     恶名昭彰的巫妖已经当够了，谁说巫妖就不能当好人了？我一定要战胜这该死的系统，做一个堂堂正正的大好人。???"
38,"择天记","猫腻","玄幻小说",1189871,2658,2771046,107434,9.6,"公众作品","连载中","签约作品","2016/10/21 23:55","　　太始元年，有神石自太空飞来，分散落在人间，其中落在东土大陆的神石，上面镌刻着奇怪的图腾，人因观其图腾而悟道，后立国教。
???     数千年后，十四岁的少年孤儿陈长生，为治病改命离开自己的师父，带着一纸婚约来到神都，从而开启了一个逆天强者的崛起征程。"
39,"天择","卷土","玄幻小说",3262103,757,5119122,59413,9.7,"公众作品","新书上传","Ａ级签约","2016/7/23 10:28","　　上天选择我来这走一世，我便要只争朝夕！

???     在这个百家争鸣的乱世，在这个也是百家争霸的乱世！！

???     命格破军，便要领千军万众，横刀立马......

???     命格紫微，便要泽被苍生，主大地浮沉......

???     命格辅弼，便要治理天下，万人之上，一人之下！

???     而我命格妖星，便要混淆天机，乱九州，寇天下！

???     圣人不死，大盗不止！！！！

???     我是谁，

???     谁是我？？

???     有一头宁可战死也不肯回头的兽，死战后风化在大荒的茫茫原野上，

???     如今，我归来了，带着我的嚣张，还有我的......倔强！

???"
40,"天火大道","唐家三少","都市小说",2789491,127,2589702,79649,9.6,"公众作品","新书上传","Ａ级签约","2016/1/18 0:06","　　天火大道是一条长达两千零四十八米的街道，这里有着一百六十八间店铺，每一位店铺的主人，都是一位强大的异能者。

???     绰号宙斯的佣兵界之王，因为妻子在意外中身亡隐居于天火大道。他的店铺，就叫做：宙斯珠宝店。在天火大道，他被称之为：珠宝师。

???     【突破自我，神王无敌，唐门所出，必为精品】"
41,"重生之神级败家子","辰机唐红豆","都市小说",11549161,487,3943565,74776,9.5,"公众作品","已经完本","Ａ级签约","2016/7/24 10:58","　　“我必须得败家啊，不败家不浪费我爸妈赚钱的才华了吗？”
???     面对记者的采访，洪大力如是说。
???     采访刚一结束，洪大力便拉出“大败家系统”界面，看着上面各种各样的好东西，摸着下巴喃喃自语：“再败家两千亿就能换这套最强人形机动兵器【真·古兰修】的核心技术‘对消灭引擎’的设计图纸了，看来还得再加把劲啊！”
???     “我要挥霍！我要败家！”"
42,"怪厨","田十","都市小说",2377622,838,6283971,21806,9.5,"公众作品","已经完本","Ａ级签约","2016/3/4 15:16","　　白路在一个神奇的监狱长大，学会许多古怪本领。
???     更得到神传厨道，拥有绝世厨艺。
???     机缘巧合，来到首都开店，从此世上有了一间古怪的饭店，多了一个古怪的厨师，发生了许多古怪的事情。
???     怪厨白路。
???"
43,"苍穹龙骑","华表","玄幻小说",1832175,724,4471394,53266,9.3,"公众作品","已经完本","Ａ级签约","2016/7/10 23:57","　　十万年前的荣耀正在被世人渐渐遗忘。
???     背负神秘命运从地球归来的空战王牌再铸龙骑士的辉煌。
???     谦卑、荣誉、牺牲、英勇、怜悯、精神、诚实、公正！
???     无论是黑夜降临，还是太阳升起，巨龙的咆哮响彻天际，守护这片苍穹的龙骑士必将与天空同在！
???     长剑所指，只要还有高度，就绝不决弃！
???     -------------------
???     新书：《青莲剑说》 书号1004144362
???     欢迎收藏，打赏和订阅！"
44,"灵域","逆苍天","玄幻小说",7616667,220,4988258,119514,9.7,"公众作品","新书上传","Ａ级签约","2015/12/29 18:02","　　三万年前，自称为“神”的搏天族入侵灵域，百族奋起反抗，最终惨败，人族率先投诚，百族随后相继臣服。
???     之后万年，所有种族皆被搏天族奴役，被严酷对待，生活在恐怖阴影中。
???     搏天族征伐脚步，并未就此停止，以灵域为起始冲入各大秘境空间，四处树敌开战，战力消耗巨大，终被百族觅到机会一举击溃，不得不远遁域外星空。
???     三万年后，在搏天族已成为古老传说的时代，一个怀有搏天族血脉的失忆少年，被寄养在一个小小家族，苟延残喘着，静候血脉觉醒的那一天到来。
???     ……
???"
45,"我真是大明星","尝谕","职场小说",1709065,10154,3800982,398307,9.7,"公众作品","连载中","Ａ级签约","2016/10/23 16:34","　　一心想当明星的张烨穿越到了一个类似地球的新世界。
???     电视台。主持人招聘现场。
???     一个声音高声朗诵：“在苍茫的大海上，狂风卷集着乌云。在乌云和大海之间，海燕像黑色的闪电，在高傲地飞翔……暴风雨，暴风雨就要来了！这是勇敢的海燕，在怒吼的大海上，在闪电中间，高傲地飞翔；这是胜利的预言家在叫喊——让暴风雨来的更猛烈些吧！”
???     于是，这个世界从没有听过高尔基《海燕》的面试官们被惊得目瞪口呆！
???     故事，从这里启程了。
???     【尝谕出品】：已完本《市长大人》《重活了》《重生之玩物人生》《权财》。"
46,"黑铁之堡","醉虎","玄幻小说",2400121,2023,5982698,111351,9.8,"公众作品","新书上传","Ａ级签约","2016/10/23 0:18","　　大灾变之后，世间的一切规则重写，黑铁时代来临，钢铁，蒸汽，武力成为人类赖以生存下去的最大依靠，一个叫张铁的普通少年，懵懵懂懂之中，被命运之神在屁股上狠狠踹了一脚，得到一颗能够不断生长出各种神奇果实的小树，少年惨叫一声，打着滚，一头扎进那片无限广袤大陆的洪流之中——波澜壮阔的人族与魔族的第三次百年圣战即将到来！

???     神秘无垠的广阔大陆！利用水晶不断打开人体潜能的神奇修炼体系！神之族裔的热血传奇！东方玄门的重重秘密！地心世界的无尽宝藏！一切尽在《黑铁之堡》。

???     注：本书的背景是老虎构架出来的玄幻蒸汽朋克风格，让我们一起在小说中去享受那个有着无限可能和无限创造的世界吧。

???"
47,"天才名医","钓鱼1哥","都市小说",1026519,583,1834074,8689,9.7,"公众作品","已经完本","Ａ级签约","2016/7/5 13:30","　　急诊医生秦川得到一个神奇的天才神医系统，系统的跨时代医学科技让一个平凡的医生变成了医学天才。一个小医生慢慢成长为名医。
???"
48,"传奇缔造者","临河羡鱼翁","体育小说",699405,101,3583815,13940,9.8,"公众作品","新书上传","Ａ级签约","2015/7/17 21:37","　　“nba的一半是乔丹，剩下的一半属于其他人？不好意思，这是我以前说过的话，在他进入联盟之前是这样，但是现在不是了。”－－魔术师约翰逊

???     “我只是来这里看谁能够得到第二名的，我没有参加比赛，但是我知道，有一个人和我一样，当他参赛之后，其他人只能去争第二。”－－拉里伯德

???     “在nba，任何一个球员如果在球场上胡乱投篮，我都会将他拿下，如果全队场上五人如此，那么场上所有球员全部给我滚下来，即便是乔丹也是这样，但是如果有机会执教他的话，那么我的球队，他可以随便出手，四十次？五十次？六十次？都没有问题，我说的不是出手数，而是打铁数”－－菲尔杰克逊

???     “又遇到了这个家伙，你们把球给我，我要回家！”－－当乔丹，奥拉朱旺，巴克利，尤因，马龙

???     这里是属于nba的世界，这里是nba最传奇的一段岁月，这里是1993年，这里是nba，这里正在有一个缔造传奇的人！

???"
49,"佣兵的战争","如水意","军事小说",1570534,3989,5752654,92845,9.8,"公众作品","连载中","Ａ级签约","2016/10/22 21:12","　　高扬是一个军迷，一个很普通的军迷，爱刀，爱枪，爱冒险。
???     一次意外，高扬跑去了非洲，结果不幸遇到了空难，侥幸活命，却从此只能在枪口下混饭吃了，因为他成了一个雇佣兵。
???     一个军迷，能在国际佣兵界达到什么样的高度？
???     请拭目以待吧。
???"
50,"超级电力强国","给您添蘑菇啦","都市小说",1025458,898,2173959,14609,9.7,"公众作品","已经完本","Ａ级签约","2016/9/18 14:23","　　一度电，
???     可以让节能灯发光100小时，
???     笔记本电脑开机10小时，
???     采煤27千克，
???     生产15瓶啤酒，
???     创造10元的GDP。
???     那么，60000亿度呢？
???     这是一个电工重生的故事，有关电的故事。
???"
51,"水浒求生记","他来自江湖","历史小说",1855854,146,2959425,27411,9.7,"公众作品","精彩纷呈","Ａ级签约","2016/5/17 0:41","　　我的心腹都在哪里！？
???     这是原本轨迹中梁山泊开山祖师王伦在垂死前所发出的最后哀嚎。
???     然而，皆因一场雷劫让历史偏离了既定的主线。
???     动荡的大宋时局，崩坏的伦理朝纲，觊觎的恶邻女真，霸蛮的强客欺主，内忧外患中是生存还是灭亡，留给白衣秀士王伦的时间已经不多了。
???     且看一个现代国企小主管穿越宋朝，附身著名倒霉鬼王伦后的水浒求生之路。
???"
52,"都市回收霸主","傻小四","都市小说",1182451,136,1451866,8673,9.2,"公众作品","新书上传","Ａ级签约","2016/2/23 18:22","　　“世界首富先生！”
???     “请问，您的个人财富有多少？”
???     “请问，太平洋那支独立战舰群跟您有关系吗？”
???     “请问，蓝魅智能科技的市值已经突破万亿美金您对此有何感想！”
???     “听说您是娱乐界隐士王朝的实际掌控者，一手缔造了传奇级天后徐萌？”
???     “您在全球置业，拥有的土地面积已经高达一百万平方公里，请问这是事实吗？”
???     “郝先生？”
???     郝猛回过神来，看着台下一众记者，咧嘴笑着说：“其实，我以前就是个收破烂，只不过比你们运气好一些！”"
53,"重任","曲封","职场小说",2067297,345,2934719,19809,9.6,"公众作品","已经完本","Ａ级签约","2016/1/29 0:01","　　看一个小小的列车员是如何登上权力颠峰的
???"
54,"神话版三国","坟土荒草","历史小说",1954882,849,3635655,53460,9.8,"公众作品","新书上传","Ａ级签约","2016/10/22 19:00","　　陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？???     吕布单枪匹马凿穿万人部队，这怎么看都不科学。???     赵子龙真心龙魂附体了，一剑断山，这真的是人？???     典韦单人护着曹操杀出敌营，顺手宰了对面数千步骑，这战斗力爆表了吧！???     这是不是哪里有些不对啊，陈曦顺手摸了一把鹅毛扇挥了一下，狂风大作，叹了一口气，“这是神话吧，我自己都不正常了。”???     ps：其实这是一篇正经的种田文……
???     QQ群：95010223"
