Date,Package,Title,,
2020/5/7,WorldFlora,"Standardize Plant Names According to World Flora Online
Taxonomic Backbone",,
2020/5/6,addScales,Adds Labeled Center Line and Scale Lines to Trellis Plots,,
2020/5/6,ATmet,Advanced Tools for Metrology,,
2020/5/6,AzureContainers,"Interface to 'Container Instances', 'Docker Registry' and
'Kubernetes' in 'Azure'",,
2020/5/6,backShift,Learning Causal Cyclic Graphs from Unknown Shift Interventions,,
2020/5/6,BASS,Bayesian Adaptive Spline Surfaces,,
2020/5/6,BayesLCA,Bayesian Latent Class Analysis,,
2020/5/6,beautier,'BEAUti' from R,,
2020/5/6,bioacoustics,"Analyse Audio Recordings and Automatically Extract Animal
Vocalizations",,
2020/5/6,biscale,Tools and Palettes for Bivariate Thematic Mapping,,
2020/5/6,blocksdesign,"Nested and Crossed Block Designs for Factorial and Unstructured
Treatment Sets",,
2020/5/6,bpDir,Boxplots for Directional Data,,
2020/5/6,catsim,Binary and Categorical Image Similarity Index,,
2020/5/6,cheatR,Catch Cheaters,,
2020/5/6,codyn,Community Dynamics Metrics,,
2020/5/6,conquer,Convolution-Type Smoothed Quantile Regression,,
2020/5/6,dashCoreComponents,Core Interactive UI Components for 'Dash',,
2020/5/6,dashHtmlComponents,Vanilla HTML Components for 'Dash',,
2020/5/6,datapackage.r,Data Package 'Frictionless Data',,
2020/5/6,deckgl,An R Interface to 'deck.gl',,
2020/5/6,deepdep,Visualise and Explore the Deep Dependencies of R Packages,,
2020/5/6,DemografixeR,"Extrapolate Gender, Age and Nationality of a Name",,
2020/5/6,DFA.CANCOR,Linear Discriminant Function and Canonical Correlation Analysis,,
2020/5/6,ds4psy,Data Science for Psychologists,,
2020/5/6,entrymodels,Estimate Entry Models,,
2020/5/6,fgdr,Utilities for Fundamental Geo-Spatial Data,,
2020/5/6,ForestTools,Analyzing Remotely Sensed Forest Data,,
2020/5/6,fplyr,Apply Functions to Blocks of Files,,
2020/5/6,gargle,Utilities for Working with Google APIs,,
2020/5/6,Gmisc,"Descriptive Statistics, Transition Plots, and More",,
2020/5/6,gtrendsR,Perform and Display Google Trends Queries,,
2020/5/6,HMB,Hierarchical Model-Based Estimation Approach,,
2020/5/6,IMak,Item Maker,,
2020/5/6,ioanalysis,Input Output Analysis,,
2020/5/6,ItemResponseTrees,"IR-Tree Modeling in 'mirt', 'Mplus', or 'TAM'",,
2020/5/6,jpmesh,Utilities for Japanese Mesh Code,,
2020/5/6,lsei,"Solving Least Squares or Quadratic Programming Problems under
Equality/Inequality Constraints",,
2020/5/6,m2r,Interface to 'Macaulay2',,
2020/5/6,mand,Multivariate Analysis for Neuroimaging Data,,
2020/5/6,MXM,"Feature Selection (Including Multiple Solutions) and Bayesian
Networks",,
2020/5/6,npsurv,Nonparametric Survival Analysis,,
2020/5/6,opencpu,Producing and Reproducing Results,,
2020/5/6,openxlsx,"Read, Write and Edit xlsx Files",,
2020/5/6,parsnip,A Common API to Modeling and Analysis Functions,,
2020/5/6,paths,"An Imputation Approach to Estimating Path-Specific Causal
Effects",,
2020/5/6,platetools,Tools and Plots for Multi-Well Plates,,
2020/5/6,presser,Lightweight Web Server for Testing,,
2020/5/6,RcmdrPlugin.EZR,R Commander Plug-in for the EZR (Easy R) Package,,
2020/5/6,RcppParallel,Parallel Programming Tools for 'Rcpp',,
2020/5/6,renv,Project Environments,,
2020/5/6,rfacebookstat,Load Data from Facebook API Marketing,,
2020/5/6,RSQL,"Database Agnostic Package to Generate and Process 'SQL' Queries
in R",,
2020/5/6,ryandexdirect,Load Data From 'Yandex Direct',,
2020/5/6,ShapeRotator,"Standardised Rigid Rotations of Articulated Three-Dimensional
Structures",,
2020/5/6,simplePHENOTYPES,"Simulation of Pleiotropic, Linked and Epistatic Phenotypes",,
2020/5/6,simplevis,Simple Visualisation with 'ggplot2' and 'leaflet' Wrappers,,
2020/5/6,simrel,Simulation of Multivariate Linear Model Data,,
2020/5/6,sjstats,"Collection of Convenient Functions for Common Statistical
Computations",,
2020/5/6,surbayes,Bayesian Analysis of Seemingly Unrelated Regression Models,,
2020/5/6,TAM,Test Analysis Modules,,
2020/5/6,tinytest,Lightweight and Feature Complete Unit Testing Framework,,
2020/5/6,TOC,Total Operating Characteristic Curve and ROC Curve,,
2020/5/6,tracerer,Tracer from R,,
2020/5/5,adventr,"Interactive R Tutorials to Accompany Field (2016), ""An Adventure
in Statistics""",,
2020/5/5,analysisPipelines,"Compose Interoperable Analysis Pipelines & Put Them in
Production",,
2020/5/5,bayesPop,Probabilistic Population Projection,,
2020/5/5,bayest,Bayesian t-Test,,
2020/5/5,BVAR,Hierarchical Bayesian Vector Autoregression,,
2020/5/5,CASMAP,"Detection of Statistically Significant Combinations of SNPs in
Association Mapping",,
2020/5/5,climate,Interface to Download Meteorological (and Hydrological) Datasets,,
2020/5/5,correlation,Methods for Correlation Analysis,,
2020/5/5,coxmeg,Cox Mixed-Effects Models for Genome-Wide Association Studies,,
2020/5/5,DiceEval,Construction and Evaluation of Metamodels,,
2020/5/5,DiPALM,Differential Pattern Analysis via Linear Modeling,,
2020/5/5,diseasemapping,Modelling Spatial Variation in Disease Risk for Areal Data,,
2020/5/5,dispRity,Measuring Disparity,,
2020/5/5,dodgr,Distances on Directed Graphs,,
2020/5/5,EPGMr,Implementation of the Everglades Phosphorus Gradient Model,,
2020/5/5,epos,Epilepsy Ontologies Similarities,,
2020/5/5,etasFLP,"Mixed FLP and ML Estimation of ETAS Space-Time Point Processes
for Earthquake Description",,
2020/5/5,foghorn,Summarize CRAN Check Results in the Terminal,,
2020/5/5,GE,General Equilibrium Modeling,,
2020/5/5,geostatsp,Geostatistical Modelling with Likelihood and Bayes,,
2020/5/5,ggupset,Combination Matrix Axis for 'ggplot2' to Create 'UpSet' Plots,,
