sbid,tenure,expense,COUNT,perperson,entropy,chgexpense,chgcount,churn
1445484147,3593,133.46,102,9.846960784,2.902972568,-0.282164372,-0.177419355,0
1445484157,2232,94.5,137,4.752846715,2.903305768,-0.010471204,0.280373832,0
1445484183,3599,136.05,225,3.367066667,4.927672846,0.007852434,0.37195122,0
1445484202,3594,109.24,122,4.996393443,3.275474766,-0.048432056,0.29787234,0
1445484248,3607,409,73,7.500410959,3.213408991,0,-0.342342342,0
1445484303,4235,314.47,42,10.55690476,1.64036633,-0.026468949,-0.263157895,0
1445484320,3606,82,34,9.526470588,1.836551798,0.043256998,0.0625,0
1445484338,3601,139.8,126,5.399761905,3.663019389,-0.009915014,-0.015625,0
1445484350,2221,109.4,19,7.79,2.529774708,-0.060137457,-0.586956522,0
1445484432,2187,192.2,5,9.138,0.877541141,-0.001039501,0,0
1445484457,3595,226.66,66,14.34409091,2.988040934,0.042306631,-0.070422535,0
1445484458,2737,119,48,5.583333333,2.707185089,0,0.090909091,0
1445484490,3610,213.5,80,15.118,3.156026518,-0.007807417,-0.183673469,0
1445484500,3606,131.38,43,6.273255814,2.909899261,-0.001899263,0.102564103,0
1445484532,2224,349.13,136,6.648235294,3.924414445,0.07095092,-0.15,0
1445484537,3608,94.3,48,3.954791667,3.215640098,0,0.297297297,0
1445484552,3604,145.14,89,7.919550562,3.373085271,0.002071251,-0.053191489,0
1445484562,3610,115.39,5,2.548,1.087136732,0.049,-0.615384615,0
1445484631,3603,276.68,126,10.54896825,3.841245636,0.275023042,0.726027397,0
1445484642,3610,97,16,5.68125,1.644799515,-0.013224822,-0.5,0
1445484687,2736,219.4,150,9.380733333,4.006298019,0.044364052,-0.044585987,0
1445484695,2206,126.82,63,5.557460318,3.557440651,0.208154711,-0.222222222,0
1445484738,2182,215,22,8.810909091,2.170326642,-0.000278992,-0.083333333,0
1445484808,2239,150.55,39,10.12974359,2.75425023,0.083093525,0.444444444,0
1445484825,3598,245.11,100,8.6356,3.912033945,0.803605592,0.470588235,0
1445484830,2318,326.7,193,9.991450777,4.001708028,-0.13388123,-0.005154639,0
1445484925,3570,193.84,168,3.034345238,4.316450697,0.073311185,-0.04,0
1445484987,3598,245.12,119,7.354117647,3.777231512,-0.065426262,0,0
1445485008,3598,187.45,146,10.39328767,4.003362031,0.577729147,0.327272727,0
1445485052,3102,296.92,119,9.470504202,4.066152411,0.0164664,-0.15,0
1445485072,3608,104.28,42,6.72452381,3.169052308,0.039992022,0.4,0
1445485082,3606,285.48,45,3.737555556,3.287302726,0.021358807,0.8,0
1445485085,2102,184.84,82,4.258292683,3.419316159,0.044293785,-0.046511628,0
1445485111,2221,214,79,6.361139241,3.626708475,0.023923445,-0.102272727,0
1445485127,3587,214.3,121,4.907438017,4.030676441,0.023400191,0.406976744,0
1445485156,2737,140,122,4.594754098,3.479739396,0.129032258,0.150943396,0
1445485161,2190,92.19,32,10.8734375,2.609959004,-0.185528757,-0.219512195,0
1445485177,2766,104,68,10.13735294,3.419064406,0,-0.116883117,0
1445485198,3600,55.06,29,12.9637931,2.508104208,0.460477454,0.208333333,0
1445485205,3599,256.39,50,7.2948,3.184209673,0.453128542,0.219512195,0
1445485207,2242,89.2,47,3.175319149,3.357497632,-0.389459274,-0.113207547,0
1445485291,2138,72,45,3.121111111,3.291661349,0.2006003,-0.0625,0
1445485308,3593,157,107,4.837476636,3.871885004,0.869047619,-0.069565217,0
1445485322,2246,155.08,124,4.446532258,4.10942117,0.358801367,0.008130081,0
1445485346,2301,154.96,57,5.530526316,2.620167729,0.767134223,0.325581395,0
1445485388,3596,199.4,105,8.526952381,3.368855189,0.020993344,-0.094827586,0
1445485450,3593,113.04,118,3.860508475,4.146476961,-0.10654442,0.017241379,0
1445485501,3610,138.5,111,5.719099099,3.1755191,-0.145061728,-0.165413534,0
1445485601,3607,146,42,9.79,2.704092983,0,-0.16,0
1445485617,3598,98.8,46,6.74826087,2.293266313,-0.075598802,-0.06122449,0
1445485647,3594,169.18,93,11.62354839,3.672217676,-0.40316094,-0.021052632,0
1445485671,2224,364.53,121,8.19107438,3.184225015,0.309516112,0.440476191,0
1445485689,3608,160.02,87,4.578390805,3.575086793,0.004519774,-0.064516129,0
1445485692,3595,97.3,59,2.746440678,3.397438378,-0.020140987,-0.289156627,0
1445485728,2157,77.45,20,1.4305,2.611888258,0.015205138,0.818181818,0
1445485782,3085,365,180,4.026777778,4.307967551,0,0.146496815,0
1445485832,2110,49.5,51,9.200980392,3.292905324,0,-0.15,0
1445485862,2103,317.9,132,2.283409091,4.032289963,-0.357206406,-0.359223301,0
1445485870,2237,261.81,157,11.23649682,4.037206259,0.179324324,0.105633803,0
1445485874,3108,112.8,34,4.364117647,2.374642051,0.074285714,0.133333333,0
1445485899,3602,133.47,21,21.66285714,1.846539573,-0.188632219,-0.192307692,0
1445485912,2245,204,6,15.20666667,1.383139563,0,-0.806451613,0
1445485941,3608,89.6,158,4.851455696,4.217627868,0.185185185,0.074829932,0
1445485960,3598,119.96,64,9.5696875,3.119804275,-0.169999308,-0.168831169,0
1445485982,3594,222.5,219,7.559908676,4.283397849,-0.004696936,0.146596859,0
1445485998,2732,112.1,61,3.255409836,3.738385387,0.080377795,-0.322222222,0
1445486004,2164,196.02,45,6.684222222,1.812871511,0.119282819,0.40625,0
1445486014,3103,104.79,93,6.042795699,3.727398597,0.110416446,0.068965517,0
1445486030,2959,240.43,147,6.122108844,3.821878703,-0.059902248,-0.150289017,0
1445486037,2326,69.7,34,6.624411765,2.918514725,-0.093156388,-0.028571429,0
1445486052,3603,160.51,137,10.81416058,4.002541613,-0.096685238,-0.061643836,0
1445486071,3606,115.45,79,6.728481013,3.573994834,0.205240631,-0.036585366,0
1445486164,3602,313.99,214,8.406869159,4.125651876,0.051153293,-0.02283105,0
1445486174,3103,93.87,100,7.2381,3.627230821,0.043463762,-0.107142857,0
1445486202,2337,76.37,45,6.970444444,3.097042795,-0.060870635,-0.02173913,0
1445486224,3607,187,99,4.068989899,3.920099697,0,0.375,0
1445486231,3594,126.99,17,10.80882353,2.273296116,0.310120706,0.307692308,0
1445486271,3592,352.52,113,10.11734513,3.399604167,0.079726791,-0.266233766,0
1445486520,2732,248.89,7,2.658571429,1.287129849,-0.000441767,-0.416666667,0
1445486524,3600,99.58,41,5.6,2.94620482,-0.0042,-0.046511628,0
1445486546,4485,354,81,5.530740741,3.347625203,-0.009762511,-0.19,0
1445486564,2187,112,69,3.99826087,3.536882368,-0.002138275,-0.197674419,0
1445486595,3851,412.3,146,8.482739726,4.013531909,-0.041653108,-0.081761006,0
1445486599,2203,128.6,37,10.68648649,2.96013892,0.272511379,0.027777778,0
1445486642,3594,118.49,84,12.13083333,3.552352975,0.247394463,0.3125,0
1445486646,4485,172.29,29,4.672758621,2.49881207,0.085086283,-0.325581395,0
1445486658,2145,96.48,50,8.807,3.196564298,0.030769231,0.086956522,0
1445486755,2039,106.2,12,11.0875,0.977173541,0.072727273,-0.454545455,0
1445486761,3609,261.3,103,7.259514563,3.70847676,1.643666532,-0.22556391,0
1445486764,3608,258.46,84,7.592738095,3.002454655,-0.013097102,0.024390244,0
1445486769,2119,110.19,94,8.775,3.8069313,-0.021663855,0.02173913,0
1445486771,3587,194.74,154,3.891428571,3.774072508,0.36928702,-0.206185567,0
1445486795,2319,111,155,5.809096774,4.274956691,-0.043268402,-0.03125,0
1445486804,3603,320.85,84,15.33785714,3.621728065,-0.305444312,-0.2,0
1445486819,3608,281.65,53,26.77830189,1.254130545,-0.051204312,-0.171875,0
1445486855,2749,126.45,74,8.47945946,3.260076434,-0.074981712,0.138461539,0
1445486877,2733,311.99,109,5.795779817,3.743986903,-0.271408888,-0.198529412,0
1445486911,3602,114.8,60,3.491,3.288131884,0.004374453,0.090909091,0
1445486946,4484,89.25,22,5.598636364,2.659644823,0.03406326,-0.214285714,0
1445486956,4484,194,96,6.925,3.214713563,0,0.078651685,0
1445487003,2307,218.55,138,9.805,4.007297529,-0.062017167,-0.041666667,0
